IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Bangladesh,,BDT,04/08/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,05/08/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,06/08/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,07/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,08/08/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,11/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,12/08/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,13/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,14/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,15/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,18/08/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,19/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,20/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,21/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,22/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,25/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,26/08/2008,68.35,Trading Economics
Official,Bangladesh,,BDT,27/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,28/08/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,29/08/2008,68.35,Trading Economics
Official,Bangladesh,,BDT,01/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,02/09/2008,68.35,Trading Economics
Official,Bangladesh,,BDT,03/09/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,04/09/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,05/09/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,08/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,09/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,10/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,11/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,12/09/2008,68.15,Trading Economics
Official,Bangladesh,,BDT,15/09/2008,68.1,Trading Economics
Official,Bangladesh,,BDT,16/09/2008,68.1,Trading Economics
Official,Bangladesh,,BDT,17/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,18/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,19/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,22/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,23/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,24/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,25/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,26/09/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,29/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,30/09/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,01/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,02/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,03/10/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,06/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,07/10/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,08/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,09/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,10/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,13/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,14/10/2008,68.55,Trading Economics
Official,Bangladesh,,BDT,15/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,16/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,17/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,20/10/2008,68.45,Trading Economics
Official,Bangladesh,,BDT,21/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,22/10/2008,68,Trading Economics
Official,Bangladesh,,BDT,23/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,24/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,27/10/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,28/10/2008,68.6,Trading Economics
Official,Bangladesh,,BDT,29/10/2008,68.55,Trading Economics
Official,Bangladesh,,BDT,30/10/2008,67.85,Trading Economics
Official,Bangladesh,,BDT,31/10/2008,67.65,Trading Economics
Official,Bangladesh,,BDT,03/11/2008,68.35,Trading Economics
Official,Bangladesh,,BDT,04/11/2008,68.15,Trading Economics
Official,Bangladesh,,BDT,05/11/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,06/11/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,07/11/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,10/11/2008,67.95,Trading Economics
Official,Bangladesh,,BDT,11/11/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,12/11/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,13/11/2008,68.65,Trading Economics
Official,Bangladesh,,BDT,14/11/2008,68.05,Trading Economics
Official,Bangladesh,,BDT,17/11/2008,68.65,Trading Economics
Official,Bangladesh,,BDT,18/11/2008,68.65,Trading Economics
Official,Bangladesh,,BDT,19/11/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,20/11/2008,68.1,Trading Economics
Official,Bangladesh,,BDT,21/11/2008,68.1,Trading Economics
Official,Bangladesh,,BDT,24/11/2008,68.15,Trading Economics
Official,Bangladesh,,BDT,25/11/2008,68.17,Trading Economics
Official,Bangladesh,,BDT,26/11/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,27/11/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,28/11/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,01/12/2008,68.75,Trading Economics
Official,Bangladesh,,BDT,02/12/2008,68.85,Trading Economics
Official,Bangladesh,,BDT,03/12/2008,68.6,Trading Economics
Official,Bangladesh,,BDT,04/12/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,05/12/2008,68.15,Trading Economics
Official,Bangladesh,,BDT,08/12/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,09/12/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,10/12/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,11/12/2008,68.2,Trading Economics
Official,Bangladesh,,BDT,12/12/2008,67.95,Trading Economics
Official,Bangladesh,,BDT,15/12/2008,67.9,Trading Economics
Official,Bangladesh,,BDT,16/12/2008,67.7,Trading Economics
Official,Bangladesh,,BDT,17/12/2008,68.5,Trading Economics
Official,Bangladesh,,BDT,18/12/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,19/12/2008,68.25,Trading Economics
Official,Bangladesh,,BDT,22/12/2008,68.25,Trading Economics
Official,Bangladesh,,BDT,23/12/2008,68.25,Trading Economics
Official,Bangladesh,,BDT,24/12/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,26/12/2008,68.3,Trading Economics
Official,Bangladesh,,BDT,29/12/2008,67.8,Trading Economics
Official,Bangladesh,,BDT,30/12/2008,68.85,Trading Economics
Official,Bangladesh,,BDT,31/12/2008,68.9,Trading Economics
Official,Bangladesh,,BDT,01/01/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,02/01/2009,68,Trading Economics
Official,Bangladesh,,BDT,05/01/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,06/01/2009,68.85,Trading Economics
Official,Bangladesh,,BDT,07/01/2009,68,Trading Economics
Official,Bangladesh,,BDT,08/01/2009,67.5,Trading Economics
Official,Bangladesh,,BDT,09/01/2009,67.5,Trading Economics
Official,Bangladesh,,BDT,12/01/2009,68,Trading Economics
Official,Bangladesh,,BDT,13/01/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,14/01/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,15/01/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,16/01/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,19/01/2009,68.15,Trading Economics
Official,Bangladesh,,BDT,20/01/2009,68.15,Trading Economics
Official,Bangladesh,,BDT,21/01/2009,67.9,Trading Economics
Official,Bangladesh,,BDT,22/01/2009,68.2,Trading Economics
Official,Bangladesh,,BDT,23/01/2009,68.2,Trading Economics
Official,Bangladesh,,BDT,26/01/2009,68.2,Trading Economics
Official,Bangladesh,,BDT,27/01/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,28/01/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,29/01/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,30/01/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,02/02/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,03/02/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,04/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,05/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,06/02/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,09/02/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,10/02/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,11/02/2009,68.1,Trading Economics
Official,Bangladesh,,BDT,12/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,13/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,16/02/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,17/02/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,18/02/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,19/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,20/02/2009,68.2,Trading Economics
Official,Bangladesh,,BDT,23/02/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,24/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,25/02/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,26/02/2009,68,Trading Economics
Official,Bangladesh,,BDT,27/02/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,02/03/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,03/03/2009,68,Trading Economics
Official,Bangladesh,,BDT,04/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,05/03/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,06/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,09/03/2009,68.1,Trading Economics
Official,Bangladesh,,BDT,10/03/2009,68.1,Trading Economics
Official,Bangladesh,,BDT,11/03/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,12/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,13/03/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,16/03/2009,68.1,Trading Economics
Official,Bangladesh,,BDT,17/03/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,18/03/2009,68.1,Trading Economics
Official,Bangladesh,,BDT,19/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,20/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,23/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,24/03/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,25/03/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,26/03/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,27/03/2009,68.1,Trading Economics
Official,Bangladesh,,BDT,30/03/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,31/03/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,01/04/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,02/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,03/04/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,06/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,07/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,08/04/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,09/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,10/04/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,13/04/2009,68.3,Trading Economics
Official,Bangladesh,,BDT,14/04/2009,69,Trading Economics
Official,Bangladesh,,BDT,15/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,16/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,17/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,20/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,21/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,22/04/2009,68.25,Trading Economics
Official,Bangladesh,,BDT,23/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,24/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,27/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,28/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,29/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,30/04/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,01/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,04/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,05/05/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,06/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,07/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,08/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,11/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,12/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,13/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,14/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,15/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,18/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,19/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,20/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,21/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,22/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,25/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,26/05/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,27/05/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,28/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,29/05/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,01/06/2009,68.76,Trading Economics
Official,Bangladesh,,BDT,02/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,03/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,04/06/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,05/06/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,08/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,09/06/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,10/06/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,11/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,12/06/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,15/06/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,16/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,17/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,18/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,19/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,22/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,23/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,24/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,25/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,26/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,29/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,30/06/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,01/07/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,02/07/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,03/07/2009,68.76,Trading Economics
Official,Bangladesh,,BDT,06/07/2009,68.76,Trading Economics
Official,Bangladesh,,BDT,07/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,08/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,09/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,10/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,13/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,14/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,15/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,16/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,17/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,20/07/2009,69,Trading Economics
Official,Bangladesh,,BDT,21/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,22/07/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,23/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,24/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,27/07/2009,68.55,Trading Economics
Official,Bangladesh,,BDT,28/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,29/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,30/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,31/07/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,03/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,04/08/2009,69.05,Trading Economics
Official,Bangladesh,,BDT,05/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,06/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,07/08/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,10/08/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,11/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,12/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,13/08/2009,68.75,Trading Economics
